@relation commentsCSVdefinitivo

@attribute isReply {false,true}
@attribute authorNameInComment {false,true}
@attribute isCommentFromAuthor {false,true}
@attribute commenterNameInComment {false,true}
@attribute numbersInCommenterName numeric
@attribute likes numeric
@attribute replies numeric
@attribute daysInterval numeric
@attribute repeatedWords numeric
@attribute mentionTags numeric
@attribute hashtags numeric
@attribute commenterSubscribers numeric
@attribute videoMomentReference {false,true}
@attribute homePageLink {false,true}
@attribute redirectingLink {false,true}
@attribute IP {false}
@attribute percentageTitleWordsInComment numeric
@attribute percentageTagsInComment numeric
@attribute percentageCapsLock numeric
@attribute percentageSpellingErrors numeric
@attribute blackWords numeric
@attribute isSpam {y,n}

@data
false,false,false,false,0,1,3,0.033109,1,0,0,25,false,false,false,false,0,0,4,25,2,y
true,false,false,false,0,1,-1,0.043563,1,0,0,5,false,false,false,false,0,0,50,0,0,n
false,false,false,false,0,0,0,4.820212,1,0,0,0,false,false,false,false,0,0,14,66.666667,0,n
false,false,false,false,0,0,1,1.711079,1,0,0,0,false,false,false,false,0,0,25,0,0,n
true,false,false,false,0,0,-1,3.216323,1,1,0,4,false,false,false,false,0,0,33,0,0,n
false,false,false,false,0,0,0,1.708576,1,0,0,59,false,false,false,false,0,0,5,0,0,n
false,false,false,false,0,0,1,1.541815,1,0,0,3,false,false,false,false,0,0,4,0,1,n
false,true,false,false,0,0,0,1.511949,1,0,0,6,false,false,false,false,0,0,27,100,0,n
false,false,false,false,0,0,0,1.510324,1,0,0,0,false,false,false,false,0,0,1,0,0,n
false,false,false,false,0,0,0,1.446544,1,0,0,128,false,false,false,false,0,0,4,20,0,n
false,false,false,false,0,1,0,1.270592,1,0,0,2,false,false,false,false,0,0,2,11.111111,4,y
false,false,false,false,0,302,69,86.479676,1,0,0,2,false,false,false,false,13.333333,6.666667,15,6.666667,0,n
true,false,false,false,0,1,-1,87.995539,1,0,0,0,false,false,false,false,5.882353,0,37,29.411765,1,y
true,false,false,false,0,1,-1,87.974252,1,1,0,0,false,false,false,false,22.222222,11.111111,7,11.111111,0,n
true,false,false,false,0,0,-1,87.972217,1,0,0,0,false,false,false,false,100,0,25,0,0,n
false,false,false,false,0,115,11,87.301028,1,0,0,11276,false,false,false,false,16.666667,11.111111,7,33.333333,0,n
true,false,false,false,0,1,-1,87.957362,1,0,0,0,false,false,false,false,100,0,0,100,0,n
true,false,false,false,0,1,-1,87.805048,1,0,0,0,false,false,true,false,0.724638,0,37,0,6,y
true,false,false,false,0,1,-1,87.745112,1,0,0,0,false,false,false,false,7.142857,0,36,28.571429,0,y
true,false,false,false,0,2,-1,87.713234,1,0,0,0,false,false,false,false,5.263158,0,35,26.315789,2,y
true,false,false,false,0,6,-1,87.323185,1,1,0,1,false,false,false,false,16.666667,8.333333,6,8.333333,0,n
true,false,false,false,0,0,-1,87.784005,1,0,0,4,false,false,false,false,14.285714,0,3,0,0,n
false,false,false,false,0,21,4,87.312867,2,0,0,1,false,false,false,false,25,0,100,25,0,n
false,false,false,false,0,1,2,87.792861,1,0,0,0,false,false,false,false,11.111111,0,100,0,0,n
true,false,false,false,1,2,-1,0.290347,1,1,0,8,false,false,false,false,0,0,5,8,0,n
true,false,false,false,0,1,-1,1.141687,1,1,0,4,false,false,false,false,0,0,80,0,0,n
false,false,false,false,0,0,0,0.772513,1,0,0,6,false,false,false,false,0,0,3,12.5,1,y
false,true,false,false,0,279,36,2.005885,1,0,0,1,false,false,false,false,0,4,2,4,2,n
true,false,false,false,1,2,-1,1.827317,1,0,0,0,false,false,false,false,0,0,22,0,0,n
false,false,false,false,0,0,0,4.832121,1,0,0,0,false,false,false,false,0,12.5,2,0,0,n
false,false,false,false,2,0,0,4.777419,1,0,0,0,false,false,false,false,0,0,7,2,4,y
false,false,false,false,0,0,0,4.471089,1,0,0,0,false,false,false,false,0,0,8,0,0,n
true,false,false,false,0,2,-1,0.584207,1,1,0,8,false,false,false,false,0,0,25,25,0,n
false,false,false,false,0,220,19,0.003998,1,0,0,137,false,false,false,false,0,0,11,0,1,n
true,false,false,false,0,1,-1,1.137566,2,2,0,0,false,false,true,false,12.5,6.25,27,12.5,1,y
false,false,false,false,0,0,0,0.958894,1,0,0,2,false,false,false,false,0,0,100,0,0,n
false,false,false,false,0,0,0,1.359585,1,0,0,5,false,false,false,false,3.333333,0,3,3.333333,1,n
false,false,false,false,0,0,0,1.300967,2,1,0,0,false,false,false,false,7.142857,0,47,14.285714,1,y
false,false,false,false,0,0,0,1.235367,1,0,0,0,false,false,false,false,0,0,6,0,0,n
false,false,false,false,0,1,0,1.171714,1,0,0,0,false,false,false,false,6.666667,6.666667,37,6.666667,2,y
false,false,false,false,0,7,1,0.013596,1,0,0,5,false,false,false,false,0,0,6,0,0,n
true,false,false,false,0,0,-1,0.020827,1,1,0,1,false,false,false,false,0,0,33,0,0,n
false,false,false,false,0,0,1,0.523346,1,0,0,86,false,false,false,false,0,8.333333,15,66.666667,1,n
true,false,false,false,0,0,-1,5.263395,1,0,3,0,false,false,false,false,0,0,16,25,0,y
false,false,false,false,0,8,2,110.349142,1,0,0,1331,false,false,false,false,0,0,20,0,0,n
true,false,false,false,0,0,-1,110.379571,1,1,0,1,false,false,false,false,0,0,20,33.333333,0,n
false,false,false,false,0,14,5,110.134232,1,0,0,1555,true,false,false,false,1.282051,1.282051,19,2.564103,4,n
true,false,false,false,0,0,-1,110.344495,1,1,0,1,false,false,false,false,0,0,10,0,0,n
true,false,false,false,0,0,-1,110.233683,1,1,0,1,false,false,false,false,0,0,50,0,0,n
true,false,false,false,0,0,-1,110.216467,1,1,0,0,false,false,false,false,11.111111,11.111111,51,11.111111,1,n
false,false,false,false,0,0,0,110.435486,1,0,0,131,false,false,false,false,2.325581,0,8,9.302326,5,y
false,false,false,false,0,0,0,110.427503,1,0,0,21,false,false,false,false,0,0,11,8.695652,3,y
false,false,false,false,0,0,0,110.426986,1,0,0,0,false,false,false,false,0,0,33,0,0,n
false,false,false,false,0,0,0,110.426577,1,0,0,0,false,false,false,false,33.333333,33.333333,9,0,0,n
true,false,false,false,0,0,-1,106.583441,1,1,0,187,false,false,false,false,0,0,18,4.761905,3,n
true,false,false,false,0,0,-1,106.406912,1,1,0,0,false,false,false,false,0,0,10,2.702703,1,n
true,false,false,false,0,0,-1,106.400223,1,1,0,4,false,false,false,false,0,0,9,20,0,n
true,false,false,false,0,0,-1,106.336767,1,0,0,1,false,false,false,false,0,0,34,0,0,y
false,false,false,false,3,20,13,105.242436,1,0,0,6,false,false,false,false,0,0,0,0,0,n
true,false,false,false,0,0,-1,106.450013,1,1,0,3,false,false,false,false,0,0,13,12.5,0,y
true,false,false,false,0,0,-1,106.449179,1,0,0,0,false,false,false,false,0,0,0,0,0,n
true,false,false,false,0,0,-1,106.405591,1,0,0,0,false,false,false,false,0,0,0,0,0,n
false,false,false,false,0,27,16,105.395397,1,0,0,3,false,false,false,false,0,0,48,0,0,n
true,false,false,false,0,0,-1,106.281433,1,1,0,15,false,false,false,false,0,0,13,20,0,n
false,false,false,false,0,33,7,105.814102,1,0,0,11,false,false,false,false,0,0,31,0,0,n
false,false,false,false,0,210,20,105.464332,1,0,0,198,false,false,false,false,0,0,100,0,1,y
false,false,false,false,0,8,7,105.844141,1,0,0,81,false,false,false,false,3.448276,3.448276,43,0,1,n
false,false,false,false,0,0,0,106.795917,1,0,0,21,false,false,false,false,0,0,10,8.695652,3,y
false,false,false,false,0,21,5,322.44337,1,1,0,2,false,false,false,false,0,0,73,4.347826,0,y
false,false,false,false,0,23,7,321.423063,1,0,0,31542,false,false,false,false,0,0,56,0,0,y
false,false,false,false,0,181,30,321.363209,1,0,0,58,false,false,false,false,0,0,4,9.090909,1,n
true,false,false,false,0,1,-1,324.435564,1,1,0,4,false,false,false,false,0,0,5,5.263158,0,n
true,false,false,false,0,0,-1,324.244617,1,0,0,1,false,false,false,false,0,0,8,12.5,1,n
false,false,false,false,2,4,5,322.856472,1,0,0,2501,false,false,false,false,0,0,31,0,1,y
true,false,false,false,0,1,-1,323.562575,1,1,0,131,false,false,false,false,0,0,14,50,0,n
false,false,false,false,0,0,0,324.532066,0,0,0,3,false,false,false,false,0,0,0,0,0,n
false,false,false,false,0,0,0,324.568704,1,0,0,0,false,false,false,false,0,0,1,27.272727,1,y
false,false,false,false,0,0,0,324.565111,1,0,0,8,false,false,false,false,0,0,3,0,0,n
false,false,false,false,0,262,3,10.66805,1,0,0,132,false,false,false,false,9.090909,9.090909,40,9.090909,0,y
true,false,false,false,0,0,-1,10.701339,1,1,0,132,false,false,false,false,0,0,12,50,0,n
true,false,false,false,0,4,-1,10.698731,1,0,0,0,false,false,false,false,0,0,8,0,0,n
true,false,false,false,0,11,-1,10.69574,1,0,0,0,false,false,false,false,0,0,10,0,1,n
false,false,false,false,0,97,7,11.380778,1,0,0,37,false,false,false,false,0,0,5,0,0,n
true,false,false,false,0,0,-1,12.107866,1,1,0,37,false,false,false,false,4.166667,0,9,12.5,1,n
true,false,false,false,0,0,-1,12.105476,1,1,0,37,false,false,false,false,0,0,4,16.666667,1,n
true,false,false,false,0,1,-1,11.861541,2,1,0,63,false,false,false,false,0,0,5,0,3,n
